Rank,Player,GP,MSR,MSR AVG,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
1,Arthur Kaluma,2,35.12,17.56,23.4,26,8,10.5,76.2,3.5,5.5,63.6,4,4,100,1,3.5,4.5,0.5,2.5,0,0,2.5,12,
2,Matt Cleveland,1,34.01,34.01,25.4,13,4,6,66.7,1,1,100,3,3,100,1,4,5,3,0,1,0,1,2,
3,Meleek Thomas,3,33.05,11.01666667,30.1,28.3,10.3,20.7,50,3.7,8,45.8,2,2,100,1.7,2.3,4,4.3,1.7,2.3,0.3,4,9,
4,Will Riley,2,33.02,16.51,28.6,25,7,13,53.8,3.5,5,70,5,6,83.3,1,3.5,4.5,2.5,2.5,0,0,3,13,
5,Trevor Keels,2,32.77,16.385,27.2,23,9,15,60,4,8,50,0.5,0.5,100,0,4.5,4.5,3,1.5,2,0,1,14,
6,Nick Boyd,1,31.91,31.91,18.1,14,5,6,83.3,2,3,66.7,1,1,100,0,2,2,2,0,1,0,4,8,
7,Jonathan Mogbo,2,31.79,15.895,22.3,11.5,3.5,6,58.3,0.5,0.5,100,2.5,3,83.3,3,5,8,2.5,1.5,0.5,1.5,1.5,3,
8,Bez Mbeng,2,31.63,15.815,8.3,3,1,1,100,0.5,0.5,100,0.5,0.5,100,0,0.5,0.5,1.5,0,0.5,0,0,-2,
9,Baba Miller,2,31.37,15.685,26.7,13.5,4,5.5,72.7,1.5,2,75,2.5,3,83.3,1.5,3.5,5,1.5,1.5,0,1.5,4.5,5,
10,Caleb Grill,2,31.3,15.65,4,3.5,1,1,100,0.5,0.5,100,0.5,0.5,100,0,0,0,0,0,0,0.5,0,1,
11,Seth Lundy,3,30.54,10.18,27.1,20.3,6.7,13,51.3,4,9,44.4,2,2,100,1.3,2.7,4,1,1.3,1.3,0.3,2.7,11,
12,Chaz Lanier,3,30.53,10.17666667,31.4,20.3,7,13.7,51.2,5.3,10,53.3,0.7,0.7,100,0.3,1.7,2,2,1.7,0.7,0.3,1,2,
13,Dante Maddox Jr.,2,30.43,15.215,30.3,18,6,12,50,3.5,7,50,1.5,1.5,100,1,4,5,1.5,1,0.5,0,2.5,9,
